net,length_um
rvsingle.dp.rf.rf\[25\]\[12\],88.82
clknet_leaf_133_clk,88.8
rvsingle.dp.rf.rf\[29\]\[3\],88.66
_04618_,88.6
_05391_,88.48
rvsingle.dp.rf.rf\[18\]\[5\],88.1
_03892_,87.86
clknet_leaf_22_clk,87.77
clknet_leaf_89_clk,87.66
rvsingle.dp.rf.rf\[31\]\[21\],87.62
clknet_leaf_130_clk,87.44
_04747_,87.315
_01078_,87.22
rvsingle.dp.rf.rf\[28\]\[3\],87.18
rvsingle.dp.rf.rf\[11\]\[25\],87.15
_01376_,86.825
rvsingle.dp.rf.rf\[17\]\[25\],86.72
_03505_,86.48
clknet_leaf_88_clk,86.24
_04493_,86.16
rvsingle.dp.rf.rf\[13\]\[0\],86.02
_02081_,85.98
rvsingle.dp.rf.rf\[0\]\[0\],85.98
clknet_leaf_98_clk,85.855
rvsingle.dp.rf.rf\[12\]\[24\],85.78
rvsingle.dp.rf.rf\[6\]\[6\],85.66
rvsingle.dp.rf.rf\[7\]\[25\],85.54
WriteData[27],85.45
rvsingle.dp.rf.rf\[12\]\[5\],85.31
rvsingle.dp.rf.rf\[20\]\[11\],85.3
rvsingle.dp.rf.rf\[24\]\[8\],85.28
_03812_,85.26
clknet_leaf_58_clk,85.16
clknet_leaf_146_clk,84.96
_04913_,84.94
rvsingle.dp.rf.rf\[18\]\[13\],84.505
_02073_,84.44
clknet_leaf_13_clk,84.22
_02873_,84.16
rvsingle.dp.rf.rf\[27\]\[7\],84.1
_02099_,84.06
_05770_,83.7
_04455_,83.62
_03364_,83.56
_05291_,83.56
_04718_,83.44
_04723_,83.3
rvsingle.dp.rf.rf\[6\]\[0\],83.3
clknet_leaf_95_clk,83.16
_04544_,83.08
clknet_leaf_82_clk,83.06
_03977_,83.02
_04921_,82.935
clknet_leaf_7_clk,82.92
_01906_,82.86
rvsingle.dp.rf.rf\[17\]\[3\],82.86
rvsingle.dp.rf.rf\[19\]\[3\],82.86
_02437_,82.78
_04725_,82.64
_05751_,82.64
clknet_leaf_1_clk,82.32
_04768_,82.28
clknet_leaf_86_clk,82.26
_01834_,82.08
rvsingle.dp.rf.rf\[10\]\[19\],81.98
rvsingle.dp.rf.rf\[25\]\[13\],81.96
_05174_,81.74
rvsingle.dp.rf.rf\[14\]\[5\],81.5
_05326_,81.42
_04358_,81.33
_01179_,81.18
rvsingle.dp.rf.rf\[16\]\[15\],81.12
rvsingle.dp.rf.rf\[18\]\[6\],81.025
rvsingle.dp.rf.rf\[21\]\[13\],81.02
_03906_,80.96
_01063_,80.925
_02799_,80.92
rvsingle.dp.rf.rf\[31\]\[6\],80.68
rvsingle.dp.rf.rf\[2\]\[4\],80.66
_04770_,80.62
rvsingle.dp.rf.rf\[14\]\[3\],80.4
rvsingle.dp.rf.rf\[28\]\[24\],80.38
